x,y,score
1443,539,0.9998401403427124
1423,550,0.9998001456260681
1366,540,0.9995352029800415
617,766,0.9989697933197021
948,595,0.9987747073173523
723,822,0.998703122138977
1748,775,0.9981983304023743
1379,1991,0.9974372386932373
1554,454,0.9973133206367493
1023,1058,0.996867835521698
1780,363,0.9953575730323792
1437,43,0.9951323866844177
1545,1086,0.9937168955802917
514,585,0.9936593174934387
1116,604,0.9933410286903381
1306,807,0.992548406124115
308,737,0.9922969937324524
1707,520,0.9894185662269592
1074,337,0.9892750382423401
573,1246,0.988537073135376
55,1103,0.9875832200050354
287,1522,0.9866199493408203
1180,315,0.9790828824043274
407,185,0.9787745475769043
113,1869,0.9784449934959412
1514,799,0.9764925241470337
1418,725,0.9656525254249573
94,773,0.9637797474861145
1857,65,0.9610409140586853
1935,423,0.9597748517990112
2006,621,0.9537546634674072
